,AAPL,AMZN,ATT,AUD,EUR,FBNDX,GE,GOLD,INTC,LEHM,SILVER,SPY
12/31/1999,,,,,,,,,,,,
1/3/2000,8.88%,17.41%,-3.59%,0.27%,1.80%,-0.58%,-3.07%,0.35%,5.69%,-0.54%,0.46%,-0.98%
1/4/2000,-8.43%,-8.32%,-5.85%,-0.53%,0.52%,0.29%,-4.00%,-2.34%,-4.67%,0.36%,-1.48%,-3.91%
1/5/2000,1.46%,-14.87%,1.55%,0.44%,0.24%,-0.44%,-0.17%,-0.80%,0.83%,-0.46%,-3.38%,0.18%
1/6/2000,-8.65%,-6.00%,-2.64%,-0.70%,0.07%,0.29%,1.34%,0.39%,-5.83%,0.25%,-0.49%,-1.61%
1/7/2000,4.74%,6.10%,0.86%,0.24%,-0.32%,0.15%,3.87%,0.23%,4.13%,0.26%,1.07%,5.81%
1/10/2000,-1.76%,-0.54%,1.42%,0.18%,-0.38%,-0.15%,-0.04%,-0.10%,4.57%,-0.17%,-0.58%,0.34%
1/11/2000,-5.12%,-3.52%,-1.40%,0.26%,0.78%,-0.44%,0.17%,0.63%,4.59%,-0.48%,0.29%,-1.20%
1/12/2000,-6.00%,-4.78%,-5.24%,0.14%,-0.26%,-0.15%,0.33%,-0.32%,1.74%,-0.14%,-1.07%,-0.99%
1/13/2000,10.97%,3.74%,-2.39%,1.40%,-0.49%,0.44%,1.15%,0.67%,-0.21%,0.44%,0.10%,1.35%
1/14/2000,3.81%,-2.56%,2.91%,-0.33%,-1.33%,-0.29%,-1.79%,-0.02%,13.18%,-0.17%,0.29%,1.36%
1/18/2000,3.48%,-0.19%,-2.08%,-0.05%,0.15%,-0.29%,-1.99%,1.57%,-0.91%,-0.26%,-0.10%,-0.79%
1/19/2000,2.53%,4.19%,-1.37%,-0.24%,-0.04%,0.15%,0.49%,0.34%,-2.02%,0.12%,0.20%,0.81%
1/20/2000,6.51%,-3.09%,1.08%,0.30%,0.35%,-0.15%,-1.87%,-0.39%,-4.43%,-0.15%,1.56%,-1.53%
1/21/2000,-1.93%,-4.15%,4.88%,-0.44%,-0.69%,0.15%,-1.24%,0.21%,2.42%,0.07%,0.00%,-0.22%
1/24/2000,-4.55%,12.99%,-2.33%,-1.30%,-0.26%,0.29%,-4.16%,-0.52%,0.89%,0.43%,0.58%,-2.83%
1/25/2000,5.65%,-1.25%,-4.76%,0.17%,-0.63%,0.00%,0.27%,-0.19%,2.78%,0.02%,0.38%,1.14%
1/26/2000,-1.84%,-6.41%,0.00%,-0.47%,0.10%,0.15%,2.12%,-0.37%,-4.98%,0.08%,-0.76%,-0.79%
1/27/2000,-0.17%,3.28%,-2.50%,0.28%,-1.37%,0.00%,0.22%,0.30%,1.68%,0.03%,2.49%,-0.40%
1/28/2000,-7.61%,-7.84%,0.64%,-2.92%,-1.37%,0.00%,-5.47%,-1.26%,-4.20%,0.04%,-1.68%,-3.12%
1/31/2000,2.09%,4.66%,9.24%,0.31%,-0.41%,-0.15%,0.00%,0.09%,5.25%,-0.34%,-0.29%,2.71%
2/1/2000,-3.37%,4.45%,-1.17%,-0.72%,0.04%,0.15%,1.49%,-0.31%,2.53%,0.21%,-0.95%,0.99%
2/2/2000,-1.43%,2.97%,0.29%,1.03%,0.56%,0.00%,-1.42%,0.75%,-1.36%,0.04%,-0.29%,0.09%
2/3/2000,4.55%,21.24%,-1.18%,-0.64%,1.32%,0.44%,3.87%,0.95%,4.12%,0.43%,0.97%,1.51%
2/4/2000,4.54%,-6.68%,0.00%,0.50%,-0.63%,-0.29%,1.66%,7.95%,0.54%,-0.28%,1.05%,-0.41%
2/7/2000,5.61%,-4.53%,-0.30%,-0.67%,-0.17%,-0.44%,-3.58%,-2.43%,3.04%,-0.33%,-1.14%,-0.15%
2/8/2000,0.71%,10.83%,0.45%,-0.32%,0.41%,0.44%,0.41%,-0.33%,0.81%,0.32%,0.96%,1.36%
2/9/2000,-1.96%,-3.46%,1.34%,0.71%,0.88%,-0.29%,-2.19%,1.66%,-3.85%,-0.26%,1.61%,-2.10%
2/10/2000,0.78%,-5.06%,-1.17%,-1.52%,-0.89%,-0.29%,1.03%,2.69%,2.87%,-0.23%,0.00%,0.20%
2/11/2000,-4.19%,0.00%,-4.01%,0.64%,0.21%,0.15%,-1.25%,-1.29%,-1.63%,0.15%,-1.31%,-2.03%
2/14/2000,6.49%,-2.30%,1.08%,-0.67%,-0.93%,0.44%,0.47%,-0.90%,3.78%,0.41%,-1.04%,0.59%
2/15/2000,2.75%,-0.84%,-0.46%,0.67%,0.33%,-0.15%,2.33%,-2.08%,1.93%,-0.13%,-0.19%,1.13%
2/16/2000,-4.10%,-4.23%,-3.99%,0.22%,0.49%,-0.15%,-1.34%,0.25%,-4.30%,-0.10%,0.67%,-1.47%
2/17/2000,0.66%,-2.39%,2.40%,0.06%,0.15%,0.00%,-3.43%,-0.66%,2.62%,-0.04%,-0.57%,-0.52%
2/18/2000,-3.16%,-6.16%,-4.37%,-0.47%,-0.39%,0.29%,-4.48%,1.50%,-4.20%,0.32%,0.29%,-2.15%
2/22/2000,2.30%,-1.83%,-4.58%,-1.14%,2.02%,0.58%,3.60%,-0.20%,1.30%,0.64%,0.29%,-0.25%
2/23/2000,2.14%,10.82%,-2.05%,-0.08%,-0.02%,-0.29%,0.68%,-1.45%,2.17%,-0.34%,-0.67%,1.18%
2/24/2000,-0.90%,-2.84%,-0.70%,-0.98%,-1.16%,0.29%,0.38%,-0.50%,4.76%,0.32%,-1.53%,-2.01%
